outlet_id,item_id,selling_price,available
O0001,I0189,450.52,True
O0001,I0005,518.96,True
O0001,I0188,303.98,True
O0001,I0006,323.75,True
O0001,I0008,351.22,True
O0001,I0163,124.59,True
O0001,I0202,354.69,True
O0001,I0160,139.51,True
O0001,I0193,321.36,True
O0001,I0192,242.44,True
O0001,I0003,440.78,True
O0001,I0159,476.73,True
O0001,I0190,285.01,True
O0001,I0171,440.64,True
O0001,I0196,379.09,True
O0001,I0162,157.2,True
O0001,I0172,131.04,True
O0001,I0197,480.93,True
O0002,I0159,488.17,True
O0002,I0201,137.84,True
O0002,I0001,341.0,True
O0002,I0170,292.55,True
O0002,I0197,486.61,True
O0002,I0171,449.97,True
O0002,I0008,375.54,True
O0002,I0200,156.04,True
O0002,I0160,131.14,True
O0002,I0002,385.26,True
O0002,I0168,448.36,True
O0002,I0199,211.53,True
O0002,I0165,407.1,True
O0002,I0198,257.34,True
O0002,I0007,302.34,True
O0002,I0190,299.25,True
O0002,I0192,238.81,True
O0002,I0167,137.24,True
O0003,I0003,446.49,True
O0003,I0008,362.53,False
O0003,I0189,475.14,True
O0003,I0163,139.58,True
O0003,I0200,160.59,True
O0003,I0193,292.4,True
O0003,I0170,308.56,True
O0003,I0165,436.43,True
O0003,I0159,487.85,True
O0003,I0188,295.88,True
O0003,I0195,339.22,True
O0003,I0158,130.57,True
O0003,I0199,211.44,True
O0003,I0171,449.35,True
O0003,I0009,350.73,True
O0003,I0194,444.15,True
O0003,I0169,343.7,True
O0003,I0007,273.36,True
O0004,I0007,298.17,True
O0004,I0166,236.55,True
O0004,I0170,311.11,True
O0004,I0194,441.48,True
O0004,I0167,123.93,True
O0004,I0001,331.8,True
O0004,I0159,548.08,True
O0004,I0161,505.44,True
O0004,I0165,423.23,True
O0004,I0199,213.55,True
O0004,I0158,126.49,True
O0004,I0163,141.76,True
O0004,I0164,303.06,True
O0004,I0160,123.94,True
O0004,I0197,520.04,True
O0004,I0172,131.06,True
O0004,I0004,476.99,True
O0004,I0008,343.23,True
O0005,I0168,464.04,True
O0005,I0003,464.42,True
O0005,I0171,431.11,True
O0005,I0193,284.53,True
O0005,I0172,137.5,True
O0005,I0002,398.36,True
O0005,I0194,479.73,True
O0005,I0160,136.08,True
O0005,I0006,298.12,True
O0005,I0164,282.67,True
O0005,I0166,232.78,True
O0005,I0189,434.04,True
O0005,I0170,313.22,True
O0005,I0198,262.26,True
O0005,I0158,135.19,True
O0005,I0162,158.98,True
O0005,I0188,305.59,True
O0005,I0163,123.09,True
O0006,I0161,542.23,True
O0006,I0001,342.8,True
O0006,I0189,460.58,True
O0006,I0162,146.78,True
O0006,I0009,344.57,True
O0006,I0170,297.48,True
O0006,I0197,504.48,True
O0006,I0198,268.49,True
O0006,I0200,160.43,True
O0006,I0004,431.5,True
O0006,I0165,387.9,True
O0006,I0163,129.42,True
O0006,I0168,438.66,True
O0006,I0195,339.33,True
O0006,I0158,133.69,True
O0006,I0005,481.33,True
O0006,I0160,123.36,True
O0006,I0169,349.06,True
O0007,I0004,467.5,True
O0007,I0167,128.56,True
O0007,I0161,520.3,True
O0007,I0165,411.99,True
O0007,I0197,546.22,True
O0007,I0199,208.37,True
O0007,I0189,441.63,True
O0007,I0005,548.63,True
O0007,I0193,318.12,True
O0007,I0163,127.2,True
O0007,I0190,322.98,True
O0007,I0191,523.79,True
O0007,I0192,250.55,True
O0007,I0196,421.45,True
O0007,I0166,222.29,True
O0007,I0188,322.01,True
O0007,I0162,155.37,True
O0007,I0170,290.01,True
O0008,I0001,360.55,True
O0008,I0005,532.98,True
O0008,I0006,293.0,True
O0008,I0193,286.56,True
O0008,I0199,193.78,True
O0008,I0202,359.7,True
O0008,I0162,155.25,True
O0008,I0159,524.13,True
O0008,I0195,315.32,True
O0008,I0168,469.36,True
O0008,I0197,542.59,True
O0008,I0172,137.91,True
O0008,I0169,344.02,True
O0008,I0167,138.74,True
O0008,I0003,468.51,False
O0008,I0198,247.5,True
O0008,I0190,294.8,True
O0008,I0164,279.49,True
O0009,I0172,133.41,True
O0009,I0201,136.42,True
O0009,I0194,477.56,True
O0009,I0167,122.97,True
O0009,I0199,194.62,True
O0009,I0002,414.71,True
O0009,I0198,267.04,True
O0009,I0159,489.14,True
O0009,I0168,452.67,True
O0009,I0005,498.35,True
O0009,I0196,413.58,True
O0009,I0006,284.33,True
O0009,I0192,240.81,True
O0009,I0004,450.14,True
O0009,I0003,419.21,True
O0009,I0189,445.08,True
O0009,I0007,299.23,True
O0009,I0161,480.54,True
O0010,I0007,298.99,True
O0010,I0001,368.1,True
O0010,I0172,132.08,True
O0010,I0192,256.68,True
O0010,I0190,285.41,True
O0010,I0005,519.34,True
O0010,I0197,489.15,True
O0010,I0170,315.26,True
O0010,I0165,415.89,True
O0010,I0171,477.78,True
O0010,I0003,453.62,True
O0010,I0198,268.44,True
O0010,I0201,140.83,True
O0010,I0194,486.45,True
O0010,I0166,228.69,True
O0010,I0158,134.36,True
O0010,I0193,320.89,True
O0010,I0162,162.04,True
O0011,I0196,430.35,True
O0011,I0192,261.97,True
O0011,I0159,521.1,True
O0011,I0197,476.32,True
O0011,I0002,413.51,True
O0011,I0189,482.83,True
O0011,I0188,296.66,True
O0011,I0169,346.75,True
O0011,I0199,195.52,True
O0011,I0201,129.54,True
O0011,I0163,126.52,True
O0011,I0003,443.16,True
O0011,I0198,251.92,True
O0011,I0191,494.49,True
O0011,I0162,152.02,True
O0011,I0172,133.08,True
O0011,I0161,492.4,True
O0011,I0194,485.35,True
O0012,I0170,303.29,True
O0012,I0159,508.92,True
O0012,I0171,438.16,True
O0012,I0008,372.39,True
O0012,I0161,499.04,True
O0012,I0160,125.23,True
O0012,I0194,456.93,True
O0012,I0202,334.95,True
O0012,I0003,452.44,True
O0012,I0163,131.7,True
O0012,I0006,303.37,True
O0012,I0001,373.79,True
O0012,I0199,207.46,True
O0012,I0193,311.82,True
O0012,I0190,296.34,True
O0012,I0005,476.85,True
O0012,I0007,288.98,True
O0012,I0162,149.55,True
O0013,I0189,462.94,True
O0013,I0003,429.37,True
O0013,I0196,405.64,True
O0013,I0193,305.14,True
O0013,I0006,313.0,True
O0013,I0201,134.3,True
O0013,I0165,416.3,True
O0013,I0002,417.89,True
O0013,I0191,528.55,True
O0013,I0167,133.88,True
O0013,I0009,341.24,True
O0013,I0190,288.72,True
O0013,I0166,243.88,True
O0013,I0161,548.56,True
O0013,I0004,456.46,True
O0013,I0164,281.4,True
O0013,I0197,477.68,True
O0013,I0158,124.74,True
O0014,I0161,506.24,True
O0014,I0193,301.9,True
O0014,I0191,505.94,True
O0014,I0159,483.0,True
O0014,I0163,127.7,True
O0014,I0007,273.4,True
O0014,I0160,137.23,True
O0014,I0202,331.89,True
O0014,I0190,299.8,True
O0014,I0196,382.94,True
O0014,I0199,212.02,True
O0014,I0167,135.56,True
O0014,I0169,332.02,True
O0014,I0002,420.44,True
O0014,I0172,141.28,True
O0014,I0198,271.31,True
O0014,I0162,144.91,True
O0014,I0005,518.11,True
O0015,I0200,158.53,True
O0015,I0167,131.59,True
O0015,I0196,421.96,True
O0015,I0158,141.36,True
O0015,I0163,134.34,True
O0015,I0202,332.18,True
O0015,I0188,313.7,True
O0015,I0168,442.52,True
O0015,I0160,126.96,True
O0015,I0166,244.83,True
O0015,I0171,492.41,True
O0015,I0198,252.0,True
O0015,I0002,383.84,True
O0015,I0191,548.47,True
O0015,I0008,377.8,True
O0015,I0199,196.92,True
O0015,I0195,352.53,True
O0015,I0162,160.89,True
O0016,I0159,500.7,True
O0016,I0191,506.77,True
O0016,I0169,347.25,True
O0016,I0171,464.64,True
O0016,I0197,497.74,True
O0016,I0172,124.06,True
O0016,I0163,126.39,True
O0016,I0199,203.55,True
O0016,I0008,370.3,True
O0016,I0201,127.04,True
O0016,I0005,528.29,True
O0016,I0196,383.76,True
O0016,I0004,451.17,True
O0016,I0158,131.37,True
O0016,I0009,349.59,True
O0016,I0161,504.06,True
